,report_date,country,pos_cases_tot,pos_cases_new,death_tot,death_new,pos_per_hunThou,new_cases,delta_new_cases,d_new_cases_pop
162,2020-01-07,kenya,0,0,0,0,0.0,0.0,0.0,0.0
163,2020-01-07,mali,0,0,0,0,0.0,0.0,0.0,0.0
164,2020-01-07,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
165,2020-01-07,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
166,2020-01-07,namibia,0,0,0,0,0.0,0.0,0.0,0.0
167,2020-01-07,niger,0,0,0,0,0.0,0.0,0.0,0.0
168,2020-01-07,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
169,2020-01-07,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
170,2020-01-07,senegal,0,0,0,0,0.0,0.0,0.0,0.0
171,2020-01-07,south africa,0,0,0,0,0.0,0.0,0.0,0.0
172,2020-01-07,togo,0,0,0,0,0.0,0.0,0.0,0.0
173,2020-01-07,uganda,0,0,0,0,0.0,0.0,0.0,0.0
174,2020-01-07,zambia,0,0,0,0,0.0,0.0,0.0,0.0
175,2020-01-07,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
176,2020-01-08,angola,0,0,0,0,0.0,0.0,0.0,0.0
177,2020-01-08,benin,0,0,0,0,0.0,0.0,0.0,0.0
178,2020-01-08,botswana,0,0,0,0,0.0,0.0,0.0,0.0
179,2020-01-08,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
180,2020-01-08,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
181,2020-01-08,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
182,2020-01-08,gabon,0,0,0,0,0.0,0.0,0.0,0.0
183,2020-01-08,ghana,0,0,0,0,0.0,0.0,0.0,0.0
184,2020-01-08,kenya,0,0,0,0,0.0,0.0,0.0,0.0
185,2020-01-08,mali,0,0,0,0,0.0,0.0,0.0,0.0
186,2020-01-08,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
187,2020-01-08,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
188,2020-01-08,namibia,0,0,0,0,0.0,0.0,0.0,0.0
189,2020-01-08,niger,0,0,0,0,0.0,0.0,0.0,0.0
190,2020-01-08,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
191,2020-01-08,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
192,2020-01-08,senegal,0,0,0,0,0.0,0.0,0.0,0.0
193,2020-01-08,south africa,0,0,0,0,0.0,0.0,0.0,0.0
194,2020-01-08,togo,0,0,0,0,0.0,0.0,0.0,0.0
195,2020-01-08,uganda,0,0,0,0,0.0,0.0,0.0,0.0
196,2020-01-08,zambia,0,0,0,0,0.0,0.0,0.0,0.0
197,2020-01-08,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
198,2020-01-09,angola,0,0,0,0,0.0,0.0,0.0,0.0
199,2020-01-09,benin,0,0,0,0,0.0,0.0,0.0,0.0
200,2020-01-09,botswana,0,0,0,0,0.0,0.0,0.0,0.0
201,2020-01-09,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
202,2020-01-09,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
203,2020-01-09,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
204,2020-01-09,gabon,0,0,0,0,0.0,0.0,0.0,0.0
205,2020-01-09,ghana,0,0,0,0,0.0,0.0,0.0,0.0
206,2020-01-09,kenya,0,0,0,0,0.0,0.0,0.0,0.0
207,2020-01-09,mali,0,0,0,0,0.0,0.0,0.0,0.0
208,2020-01-09,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
209,2020-01-09,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
210,2020-01-09,namibia,0,0,0,0,0.0,0.0,0.0,0.0
211,2020-01-09,niger,0,0,0,0,0.0,0.0,0.0,0.0
212,2020-01-09,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
213,2020-01-09,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
214,2020-01-09,senegal,0,0,0,0,0.0,0.0,0.0,0.0
215,2020-01-09,south africa,0,0,0,0,0.0,0.0,0.0,0.0
216,2020-01-09,togo,0,0,0,0,0.0,0.0,0.0,0.0
217,2020-01-09,uganda,0,0,0,0,0.0,0.0,0.0,0.0
218,2020-01-09,zambia,0,0,0,0,0.0,0.0,0.0,0.0
219,2020-01-09,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
220,2020-01-10,angola,0,0,0,0,0.0,0.0,0.0,0.0
221,2020-01-10,benin,0,0,0,0,0.0,0.0,0.0,0.0
222,2020-01-10,botswana,0,0,0,0,0.0,0.0,0.0,0.0
223,2020-01-10,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
224,2020-01-10,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
225,2020-01-10,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
226,2020-01-10,gabon,0,0,0,0,0.0,0.0,0.0,0.0
227,2020-01-10,ghana,0,0,0,0,0.0,0.0,0.0,0.0
228,2020-01-10,kenya,0,0,0,0,0.0,0.0,0.0,0.0
229,2020-01-10,mali,0,0,0,0,0.0,0.0,0.0,0.0
230,2020-01-10,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
231,2020-01-10,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
232,2020-01-10,namibia,0,0,0,0,0.0,0.0,0.0,0.0
233,2020-01-10,niger,0,0,0,0,0.0,0.0,0.0,0.0
234,2020-01-10,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
235,2020-01-10,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
236,2020-01-10,senegal,0,0,0,0,0.0,0.0,0.0,0.0
237,2020-01-10,south africa,0,0,0,0,0.0,0.0,0.0,0.0
238,2020-01-10,togo,0,0,0,0,0.0,0.0,0.0,0.0
239,2020-01-10,uganda,0,0,0,0,0.0,0.0,0.0,0.0
240,2020-01-10,zambia,0,0,0,0,0.0,0.0,0.0,0.0
241,2020-01-10,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
242,2020-01-11,angola,0,0,0,0,0.0,0.0,0.0,0.0
243,2020-01-11,benin,0,0,0,0,0.0,0.0,0.0,0.0
244,2020-01-11,botswana,0,0,0,0,0.0,0.0,0.0,0.0
245,2020-01-11,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
246,2020-01-11,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
247,2020-01-11,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
248,2020-01-11,gabon,0,0,0,0,0.0,0.0,0.0,0.0
249,2020-01-11,ghana,0,0,0,0,0.0,0.0,0.0,0.0
250,2020-01-11,kenya,0,0,0,0,0.0,0.0,0.0,0.0
251,2020-01-11,mali,0,0,0,0,0.0,0.0,0.0,0.0
252,2020-01-11,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
253,2020-01-11,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
254,2020-01-11,namibia,0,0,0,0,0.0,0.0,0.0,0.0
255,2020-01-11,niger,0,0,0,0,0.0,0.0,0.0,0.0
256,2020-01-11,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
257,2020-01-11,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
258,2020-01-11,senegal,0,0,0,0,0.0,0.0,0.0,0.0
259,2020-01-11,south africa,0,0,0,0,0.0,0.0,0.0,0.0
260,2020-01-11,togo,0,0,0,0,0.0,0.0,0.0,0.0
261,2020-01-11,uganda,0,0,0,0,0.0,0.0,0.0,0.0
262,2020-01-11,zambia,0,0,0,0,0.0,0.0,0.0,0.0
263,2020-01-11,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
264,2020-01-12,angola,0,0,0,0,0.0,0.0,0.0,0.0
265,2020-01-12,benin,0,0,0,0,0.0,0.0,0.0,0.0
266,2020-01-12,botswana,0,0,0,0,0.0,0.0,0.0,0.0
267,2020-01-12,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
268,2020-01-12,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
269,2020-01-12,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
270,2020-01-12,gabon,0,0,0,0,0.0,0.0,0.0,0.0
271,2020-01-12,ghana,0,0,0,0,0.0,0.0,0.0,0.0
272,2020-01-12,kenya,0,0,0,0,0.0,0.0,0.0,0.0
273,2020-01-12,mali,0,0,0,0,0.0,0.0,0.0,0.0
274,2020-01-12,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
275,2020-01-12,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
276,2020-01-12,namibia,0,0,0,0,0.0,0.0,0.0,0.0
277,2020-01-12,niger,0,0,0,0,0.0,0.0,0.0,0.0
278,2020-01-12,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
279,2020-01-12,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
280,2020-01-12,senegal,0,0,0,0,0.0,0.0,0.0,0.0
281,2020-01-12,south africa,0,0,0,0,0.0,0.0,0.0,0.0
282,2020-01-12,togo,0,0,0,0,0.0,0.0,0.0,0.0
283,2020-01-12,uganda,0,0,0,0,0.0,0.0,0.0,0.0
284,2020-01-12,zambia,0,0,0,0,0.0,0.0,0.0,0.0
285,2020-01-12,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
286,2020-01-13,angola,0,0,0,0,0.0,0.0,0.0,0.0
287,2020-01-13,benin,0,0,0,0,0.0,0.0,0.0,0.0
288,2020-01-13,botswana,0,0,0,0,0.0,0.0,0.0,0.0
289,2020-01-13,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
290,2020-01-13,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
291,2020-01-13,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
292,2020-01-13,gabon,0,0,0,0,0.0,0.0,0.0,0.0
293,2020-01-13,ghana,0,0,0,0,0.0,0.0,0.0,0.0
294,2020-01-13,kenya,0,0,0,0,0.0,0.0,0.0,0.0
295,2020-01-13,mali,0,0,0,0,0.0,0.0,0.0,0.0
296,2020-01-13,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
297,2020-01-13,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
298,2020-01-13,namibia,0,0,0,0,0.0,0.0,0.0,0.0
299,2020-01-13,niger,0,0,0,0,0.0,0.0,0.0,0.0
300,2020-01-13,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
301,2020-01-13,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
302,2020-01-13,senegal,0,0,0,0,0.0,0.0,0.0,0.0
303,2020-01-13,south africa,0,0,0,0,0.0,0.0,0.0,0.0
304,2020-01-13,togo,0,0,0,0,0.0,0.0,0.0,0.0
305,2020-01-13,uganda,0,0,0,0,0.0,0.0,0.0,0.0
306,2020-01-13,zambia,0,0,0,0,0.0,0.0,0.0,0.0
307,2020-01-13,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
308,2020-01-14,angola,0,0,0,0,0.0,0.0,0.0,0.0
309,2020-01-14,benin,0,0,0,0,0.0,0.0,0.0,0.0
310,2020-01-14,botswana,0,0,0,0,0.0,0.0,0.0,0.0
311,2020-01-14,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
312,2020-01-14,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
313,2020-01-14,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
314,2020-01-14,gabon,0,0,0,0,0.0,0.0,0.0,0.0
315,2020-01-14,ghana,0,0,0,0,0.0,0.0,0.0,0.0
316,2020-01-14,kenya,0,0,0,0,0.0,0.0,0.0,0.0
317,2020-01-14,mali,0,0,0,0,0.0,0.0,0.0,0.0
318,2020-01-14,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
319,2020-01-14,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
